problem_id,title,difficulty
1136D,"Nastya Is Buying Lunchgreedy",1800
1136E,"Nastya Hasn't Written a Legendbinary search,data structures",2200
1137A,"Skyscrapersimplementation,sortings",1600
1137B,"Camp Schedulegreedy,hashing,strings",1600
1137C,"Museums Tourdp,graphs,implementation",2500
1137D,"Cooperative Gameconstructive algorithms,interactive,number theory",2400
1137E,"Train Car Selectiondata structures,greedy",2700
1137F,"Matches Are Not a Child's Playdata structures,trees",3400
1138A,"Sushi for Twobinary search,greedy,implementation",900
1138B,"Circusbrute force,greedy,math,strings",1800
1139A,"Even Substringsimplementation,strings",800
1139B,"Chocolatesgreedy,implementation",1000
1139C,"Edgy Treesdfs and similar,dsu,graphs,math,trees",1500
1139D,"Steps to Onedp,math,number theory,probabilities",2300
1139E,"Maximize Mexflows,graph matchings,graphs",2400
1139F,"Dish Shoppingdata structures,divide and conquer",2500
1140A,"Detective Bookimplementation",1000
1140B,"Good Stringimplementation,strings",1200
1140C,"Playlistbrute force,data structures,sortings",1600
1140D,"Minimum Triangulationdp,greedy,math",1200
1140E,"Palindrome-less Arrayscombinatorics,divide and conquer,dp",2200
1140F,"Extending Set of Pointsdata structures,divide and conquer,dsu",2600
1140G,"Double Treedata structures,divide and conquer,shortest paths,trees",2700
1141A,"Game 23implementation,math",1000
1141B,"Maximal Continuous Restimplementation",900
1141C,"Polycarp Restores Permutationmath",1500
1141D,"Colored Bootsgreedy,implementation",1500
1141E,"Superhero Battlemath",1700
1141F1,"Same Sum Blocks (Easy)greedy",1900
1141F2,"Same Sum Blocks (Hard)data structures,greedy",1900
1141G,"Privatization of Roads in Treelandbinary search,constructive algorithms,dfs and similar,graphs,greedy,trees",1900
1142A,"The Beatlesbrute force,math",1700
1142B,"Lynyrd Skynyrddata structures,dfs and similar,dp,math,trees",2000
1142C,U2geometry,2400
1142D,Foreignerdp,2800
1142E,"Pink Floydgraphs,interactive",3200
1143A,"The Doorsimplementation",800
1143B,"Nirvanabrute force,math,number theory",1200
1143C,"Queendfs and similar,trees",1400
1144A,"Diverse Stringsimplementation,strings",800
1144B,"Parity Alternated Deletionsgreedy,implementation,sortings",900
1144C,"Two Shuffled Sequencesconstructive algorithms,sortings",1000
1144D,"Equalize Them Allconstructive algorithms,greedy",1400
1144E,"Median Stringbitmasks,math,number theory,strings",1900
1144F,"Graph Without Long Directed Pathsdfs and similar,graphs",1700
1145A,"Thanos Sortimplementation",0
1145C,"Mystery Circuitbitmasks,brute force",0
1145E,"Fourier Doodles",0
1145G,"AI Takeoverinteractive",0
1146A,"Love "A"implementation,strings",800
1146B,"Hate "A"implementation,strings",1100
1146C,"Tree Diameterbitmasks,graphs,interactive",1700
1146D,"Frog Jumpingdfs and similar,math,number theory",2100
1146E,"Hot is Coldbitmasks,data structures,divide and conquer,implementation",2400
1146F,"Leaf Partitiondp,trees",2500
1146G,"Zoning Restrictionsdp,flows,graphs",2700
1146H,"Satanic Panicdp,geometry",2900
1147A,"Hide and Seekgraphs",1500
1147B,"Chladni Figurebrute force,strings",1900
1147C,"Thanos Nimgames",2000
1147D,"Palindrome XORdfs and similar,graphs",2400
1147E,"Rainbow Coinsinteractive",3000
1147F,"Zigzag Gamegames,interactive",3500
1148A,"Another One Bites The Dustgreedy",800
1148B,"Born This Waybinary search,brute force,two pointers",1600
1148C,"Crazy Diamondconstructive algorithms,sortings",1700
1148D,"Dirty Deeds Done Dirt Cheapgreedy,sortings",1800
1148E,"Earth Wind and Fireconstructive algorithms,greedy,math,sortings,two pointers",2300
1148F,"Foo Fightersbitmasks,constructive algorithms",2700
1148G,"Gold Experienceconstructive algorithms,graphs,math,number theory,probabilities",3300
1148H,"Holy Diverdata structures",3500
1149A,"Prefix Sum Primesconstructive algorithms,greedy,math,number theory",1200
1149B,"Three Religionsdp,implementation,strings",2200
1149C,"Tree Generator™data structures,implementation,trees",2700
1149D,"Abandoning Roadsbrute force,dp,graphs,greedy",3000
1149E,"Election Promisesgames,graphs",3200
1150A,"Stock Arbitraginggreedy,implementation",800
1150B,"Tiling Challengegreedy,implementation",900
1151A,"Maxim and Biologybrute force,strings",1000
1151B,"Dima and a Bad XORbitmasks,brute force,constructive algorithms,dp",1600
1151C,"Problem for Nazarconstructive algorithms,math",1800
1151D,"Stas and the Queue at the Buffetgreedy,math,sortings",1600
1151E,"Number of Componentscombinatorics,data structures,dp,math",2100
1151F,"Sonya and Informaticscombinatorics,dp,matrices,probabilities",2300
1152A,"Neko Finds Grapesgreedy,implementation,math",800
1152B,"Neko Performs Cat Furrier Transformbitmasks,constructive algorithms,dfs and similar,math",1300
1152C,"Neko does Mathsbrute force,math,number theory",1800
1152D,"Neko and Aki's Prankdp,greedy,trees",2100
1152E,"Neko and Flashbackconstructive algorithms,dfs and similar,graphs",2400
1152F1,"Neko Rules the Catniverse (Small Version)bitmasks,dp,matrices",2800
1152F2,"Neko Rules the Catniverse (Large Version)bitmasks,dp,matrices",3000
1153A,"Serval and Busbrute force,math",1000
1153B,"Serval and Toy Bricksconstructive algorithms,greedy",1200
1153C,"Serval and Parenthesis Sequencegreedy,strings",1700
1153D,"Serval and Rooted Treebinary search,dfs and similar,dp,greedy,trees",1900
1153E,"Serval and Snakebinary search,brute force,interactive",2200
1153F,"Serval and Bonus Problemcombinatorics,dp,math,probabilities",2600
1154A,"Restoring Three Numbersmath",800
1154B,"Make Them Equalmath",1200
1154C,"Gourmet Catimplementation,math",1400
1154D,"Walking Robotgreedy",1500
1154E,"Two Teamsdata structures,implementation,sortings",1800
1154F,"Shovels Shopdp,greedy,sortings",2100
1154G,"Minimum Possible LCMbrute force,greedy,math,number theory",2200
1155A,"Reverse a Substringimplementation,sortings,strings",1000
1155B,"Game with Telephone Numbersgames,greedy,implementation",1200
1155C,"Alarm Clocks Everywheremath,number theory",1300
1155D,"Beautiful Arraybrute force,data structures,divide and conquer,dp,greedy",1900
1155E,"Guess the Rootbrute force,interactive,math",2200
1155F,"Delivery Oligopolybrute force,dp,graphs",2800
1156A,"Inscribed Figuresgeometry",1400
1156B,"Ugly Pairsdfs and similar,greedy,implementation,sortings,strings",1800
1156C,"Match Pointsbinary search,greedy,sortings,ternary search,two pointers",2000
1156D,"0-1-Treedfs and similar,divide and conquer,dp,dsu,trees",2200
1156E,"Special Segments of Permutationdata structures,divide and conquer,dsu,two pointers",2200
1156F,"Card Bagdp,math,probabilities",2300
1156G,"Optimizergraphs,greedy,hashing,implementation",2700
1157A,"Reachable Numbersimplementation",1100
1157B,"Long Numbergreedy",1300
1157C1,"Increasing Subsequence (easy version)greedy",1300
1157C2,"Increasing Subsequence (hard version)greedy",1700
1157D,"N Problems During K Daysconstructive algorithms,greedy,math",1900
1157E,"Minimum Arraybinary search,data structures,greedy",1700
1157F,"Maximum Balanced Circleconstructive algorithms,dp,greedy,two pointers",2000
1157G,"Inverse of Rows and Columnsbrute force,constructive algorithms",2200
1158A,"The Party and Sweetsbinary search,constructive algorithms,greedy,implementation,math,sortings,two pointers",1500
1158B,"The minimal unique substringconstructive algorithms,math,strings",2200
1158C,"Permutation recoveryconstructive algorithms,data structures,dfs and similar,graphs,greedy,math,sortings",2100
1158D,"Winding polygonal lineconstructive algorithms,geometry,greedy,math",2600
1158E,"Strange devicebinary search,interactive,math,trees",3400
1158F,"Density of subarraysdp,math",3500
1159A,"A pile of stonesimplementation,math",800
1160A2,"Collaboration*special problem",0
1162A,"Zoning Restrictions Againimplementation",800
1162B,"Double Matrixbrute force,greedy",1400
1163A,"Eating Soupgreedy,math",900
1163B1,"Cat Party (Easy Edition)data structures,implementation",1500
1163B2,"Cat Party (Hard Edition)data structures,implementation",1600
1163C1,"Power Transmission (Easy Edition)brute force,geometry",1900
1163C2,"Power Transmission (Hard Edition)data structures,geometry,implementation,math",1900
1163D,"Mysterious Codedp,strings",2100
1163E,"Magical Permutationbitmasks,brute force,constructive algorithms,data structures,graphs,math",2400
1163F,"Indecisive Taxi Feedata structures,graphs,shortest paths",3000
1165A,"Remainderimplementation,math",1100
1165B,"Polycarp Trainingdata structures,greedy,sortings",1000
1165C,"Good Stringgreedy",1300
1165D,"Almost All Divisorsmath,number theory",1600
1165E,"Two Arrays and Sum of Functionsgreedy,math,sortings",1600
1165F1,"Microtransactions (easy version)binary search,greedy",2000
1165F2,"Microtransactions (hard version)binary search,greedy,implementation",2000
1166A,"Silent Classroomcombinatorics,greedy",900
1166B,"All the Vowels Pleaseconstructive algorithms,math,number theory",1100
1166C,"A Tale of Two Landsbinary search,sortings,two pointers",1500
1166D,"Cute Sequencesbinary search,brute force,greedy,math",2200
1166E,"The LCMs Must be Largebitmasks,brute force,constructive algorithms,math,number theory",2100
1166F,"Vicky's Delivery Servicedata structures,dsu,graphs,hashing",2400
1167A,"Telephone Numberbrute force,greedy,strings",800
1167B,"Lost Numbersbrute force,divide and conquer,interactive,math",1400
1167C,"News Distributiondfs and similar,dsu,graphs",1400
1167D,"Bicolored RBSconstructive algorithms,greedy",1500
1167E,"Range Deletingbinary search,combinatorics,data structures,two pointers",2100
1167F,"Scalar Queriescombinatorics,data structures,math,sortings",2300
1167G,"Low Budget Inceptionbrute force,geometry",3100
1168A,"Increasing by Modulobinary search,greedy",1700
1168B,"Good Triplebrute force,two pointers",1900
1168C,"And Reachabilitybitmasks,dp",2200
1168D,"Anagram Pathsdp,implementation,trees",3000
1168E,"Xor Permutationsconstructive algorithms,math",3100
1169A,"Circle Metroimplementation,math",900
1170A,"Three Integers Again*special problem,math",0
1170C,"Minus and Minus Give Plus*special problem,implementation,strings",0
1170E,"Sliding Doors*special problem,binary search",0
1170G,"Graph Decomposition*special problem,graphs",0
1170I,"Good Subsets*special problem,dp",0
1172A,"Nauuo and Cardsgreedy,implementation",1800
1172B,"Nauuo and Circlecombinatorics,dfs and similar,dp,trees",1900
1172C1,"Nauuo and Pictures (easy version)dp,probabilities",2300
1172C2,"Nauuo and Pictures (hard version)dp,probabilities",2600
1172D,"Nauuo and Portalsconstructive algorithms",2900
1172E,"Nauuo and ODTdata structures",3300
1172F,"Nauuo and Bugdata structures",3300
1173A,"Nauuo and Votesgreedy",800
1173B,"Nauuo and Chessconstructive algorithms,greedy",1100
1174A,"Ehab Fails to Be Thanosconstructive algorithms,greedy,sortings",1000
1174B,"Ehab Is an Odd Personsortings",1200
1174C,"Ehab and a Special Coloring Problemconstructive algorithms,number theory",1300
1174D,"Ehab and the Expected XOR Problembitmasks,constructive algorithms",1900
1174E,"Ehab and the Expected GCD Problemcombinatorics,dp,math,number theory",2500
1174F,"Ehab and the Big Finaleconstructive algorithms,divide and conquer,graphs,implementation,interactive,trees",2400
1175A,"From Hero to Zeroimplementation,math",900
1175B,"Catch Overflow!data structures,expression parsing,implementation",1600
1175C,"Electrificationbinary search,brute force,greedy",1600
1175D,"Array Splittinggreedy,sortings",1900
1175E,"Minimal Segment Coverdata structures,dfs and similar,divide and conquer,dp,greedy,implementation,trees",2200
1175F,"The Number of Subpermutationsbrute force,data structures,divide and conquer,hashing,math",2500
1175G,"Yet Another Partiton Problemdata structures,divide and conquer,dp,geometry,two pointers",3000
1176A,"Divide it!brute force,greedy,implementation",800
1176B,"Merge it!math",1100
1176C,"Lose it!dp,greedy,implementation",1300
1176D,"Recover it!dfs and similar,graphs,greedy,number theory,sortings",1800
1176E,"Cover it!dfs and similar,dsu,graphs,shortest paths,trees",1700
1176F,"Destroy it!dp,implementation,sortings",2100
1177A,"Digits Sequence (Easy Edition)implementation",1000
1177B,"Digits Sequence (Hard Edition)binary search,divide and conquer,implementation",1800
1178A,"Prime Ministergreedy",800
1178B,"WOW Factordp,strings",1300
1178C,"Tilescombinatorics,greedy,math",1300
1178D,"Prime Graphconstructive algorithms,greedy,math,number theory",1500
1178E,"Archaeologybrute force,constructive algorithms,greedy,strings",1900
1178F1,"Short Colorful Stripcombinatorics,dfs and similar,dp",2200
1178F2,"Long Colorful Stripdp",2600
1178G,"The Awesomest Vertexdata structures,dfs and similar",3000
1178H,"Stock Exchangebinary search,flows,graphs",3500
1179A,"Valeriy and Dequedata structures,implementation",1500
1179B,"Tolik and His Uncleconstructive algorithms",1800
1179C,"Serge and Dining Roombinary search,data structures,graph matchings,greedy,implementation,math,trees",2200
1179D,"Fedor Runs for Presidentdata structures,dp,trees",2700
1179E,"Alesya and Discrete Mathdivide and conquer,interactive",3200
1180A,"Alex and a Rhombusdp,implementation,math",800
1180B,"Nick and Arraygreedy,implementation",1500
1181A,"Chunga-Changagreedy,math",1000
1181B,"Split a Numbergreedy,implementation,strings",1500
1181C,"Flagbrute force,combinatorics,dp,implementation",1900
1181D,"Irrigationbinary search,data structures,implementation,sortings,trees,two pointers",2200
1181E1,"A Story of One Country (Easy)brute force,divide and conquer,sortings",2500
1181E2,"A Story of One Country (Hard)brute force,greedy,sortings",3000
1182A,"Filling Shapesdp,math",1000
1182B,"Plus from Picturedfs and similar,implementation,strings",1300
1182C,"Beautiful Lyricsdata structures,greedy,strings",1700
1182D,"Complete Mirrorconstructive algorithms,dfs and similar,dp,hashing,implementation,trees",2400
1182E,"Product Oriented Recurrencedp,math,matrices,number theory",2300
1182F,"Maximum Sinebinary search,data structures,number theory",2700
1183A,"Nearest Interesting Numberimplementation",800
1183B,"Equalize Pricesmath",900
1183C,"Computer Gamebinary search,math",1400
1183D,"Candy Box (easy version)greedy,sortings",1400
1183E,"Subsequences (easy version)dp,graphs,implementation,shortest paths",2000
1183F,"Topforces Strikes Backbrute force,math,sortings",2100
1183G,"Candy Box (hard version)greedy,implementation,sortings",2000
1183H,"Subsequences (hard version)dp,strings",1900
1184A1,"Heidi Learns Hashing (Easy)brute force,math,number theory",1200
1184A2,"Heidi Learns Hashing (Medium)brute force,number theory",2100
1184A3,"Heidi Learns Hashing (Hard)fft,math,number theory",3100
1184B1,"The Doctor Meets Vader (Easy)binary search,sortings",1400
1184B2,"The Doctor Meets Vader (Medium)flows,graph matchings,graphs,shortest paths,sortings",2200
1184B3,"The Doctor Meets Vader (Hard)flows,shortest paths",2700
1184C1,"Heidi and the Turing Test (Easy)implementation",1600
1184C2,"Heidi and the Turing Test (Medium)data structures",2200
1184C3,"Heidi and the Turing Test (Hard)",3200
1184D1,"Parallel Universes (Easy)implementation",1600
1184D2,"Parallel Universes (Hard)math,matrices",3100
1184E1,"Daleks' Invasion (easy)graphs,trees",1900
1184E2,"Daleks' Invasion (medium)dfs and similar,graphs,shortest paths,trees",2100
1184E3,"Daleks' Invasion (hard)data structures,dsu,graphs,trees",2400
1185A,Ropewalkersmath,800
1185B,"Email from Polycarpimplementation,strings",1200
1185C1,"Exam in BerSU (easy version)greedy,sortings",1200
1185C2,"Exam in BerSU (hard version)brute force,data structures,greedy,math",1700
1185D,"Extra Elementimplementation,math",1700
1185E,"Polycarp and Snakesbrute force,implementation",2000
1185F,"Two Pizzasbitmasks,brute force",2100
1185G1,"Playlist for Polycarp (easy version)bitmasks,combinatorics,dp",2100
1185G2,"Playlist for Polycarp (hard version)combinatorics,dp",2600
1186A,"Vus the Cossack and a Contestimplementation",800
1186C,"Vus the Cossack and Stringsimplementation,math",1800
1186D,"Vus the Cossack and Numbersconstructive algorithms,greedy,math",1500
1186E,"Vus the Cossack and a Fielddivide and conquer,implementation,math",2500
1186F,"Vus the Cossack and a Graphdfs and similar,graphs,greedy,implementation",2400
1187A,"Stickers and Toysmath",900
1187B,"Letters Shopbinary search,implementation,strings",1300
1187C,"Vasya And Arrayconstructive algorithms,greedy,implementation",1800
1187D,"Subarray Sortingdata structures,sortings",2400
1187E,"Tree Paintingdfs and similar,dp,trees",2100
1187F,"Expected Square Beautydp,math,probabilities",2500
1187G,"Gang Upflows,graphs",2500
1188A1,"Add on a Treetrees",1600
1188A2,"Add on a Tree: Revolutionconstructive algorithms,dfs and similar,implementation,trees",2500
1188B,"Count Pairsmath,matrices,number theory,two pointers",2300
1188C,"Array Beautydp",2500
1188D,"Make Equaldp",3100
1188E,"Problem from Red Pandacombinatorics",3300
1189A,"Keanu Reevesstrings",800
1189B,"Number Circlegreedy,math,sortings",1100
1189C,"Candies!data structures,dp,implementation,math",1400
1190A,"Tokitsukaze and Discard Itemsimplementation,two pointers",1400
1190B,"Tokitsukaze, CSL and Stone Gamegames",1800
1190C,"Tokitsukaze and Duelbrute force,games,greedy",2300
1190D,"Tokitsukaze and Strange Rectangledata structures,divide and conquer,sortings,two pointers",2000
1190E,"Tokitsukaze and Explosionbinary search,greedy",3100
1190F,"Tokitsukaze and Powersnumber theory,probabilities",3400
1191A,"Tokitsukaze and Enhancementbrute force",800
1191B,"Tokitsukaze and Mahjongbrute force,implementation",1200
1192B,"Dynamic Diameter*special problem,data structures,dfs and similar,divide and conquer,trees",0
1193A,"Amusement Park*special problem,dp,math",0
1193C,"Scissors and Tape*special problem,constructive algorithms,geometry",0
1194A,"Remove a Progressionmath",800
1194B,"Yet Another Crosses Problemimplementation",1300
1194C,"From S To Timplementation,strings",1300
1194D,"1-2-K Gamegames,math",1700
1194E,"Count The Rectanglesbitmasks,brute force,data structures,geometry,sortings",2200
1194F,"Crossword Expertcombinatorics,dp,number theory,probabilities,two pointers",2400
1194G,"Another Meme Problemdp",2700
1195A,"Drinks Choosinggreedy,math",1000
1195B,"Sport Mafiabinary search,brute force,math",1000
1195C,"Basketball Exercisedp",1400
1195D1,"Submarine in the Rybinsk Sea (easy edition)combinatorics,math,number theory",1500
1195D2,"Submarine in the Rybinsk Sea (hard edition)combinatorics,math,number theory",1800
1195E,"OpenStreetMapdata structures,two pointers",2100
1195F,"Geometers Anonymous Clubdata structures,geometry,math,sortings",2500
1196A,"Three Piles of Candiesbrute force,constructive algorithms,math",800
1196B,"Odd Sum Segmentsconstructive algorithms,math",1200
1196C,"Robot Breakoutimplementation",1500
1196D1,"RGB Substring (easy version)implementation",1500
1196D2,"RGB Substring (hard version)data structures,dp,implementation,two pointers",1600
1196E,"Connected Component on a Chessboardconstructive algorithms,implementation",1800
1196F,"K-th Pathbrute force,constructive algorithms,shortest paths,sortings",2200
1197A,"DIY Wooden Laddergreedy,math,sortings",900
1197B,"Pillarsgreedy,implementation",1000
1197C,"Array Splittinggreedy,sortings",1400
1197D,"Yet Another Subarray Problemdp,greedy,math",1900
1197E,"Culture Codebinary search,combinatorics,data structures,dp,shortest paths,sortings",2300
1197F,"Coloring Gamedp,games,matrices",2700
1198A,"MP3sortings,two pointers",1600
1198B,"Welfare Statebinary search,brute force,data structures,sortings",1600
1198C,"Matching vs  Independent Setconstructive algorithms,graphs,greedy,sortings",2000
1198D,"Rectangle Painting 1dp",2300
1198E,"Rectangle Painting 2flows,graph matchings,graphs",2500
1198F,"GCD Groups 2greedy,number theory,probabilities",2900
1199A,"City Dayimplementation",1000
1199B,"Water Lilygeometry,math",1000
1200A,"Hotelierbrute force,data structures,implementation",800
1200B,"Block Adventuredp,greedy",1200
1200C,"Round Corridormath,number theory",1400
1200D,"White Linesbrute force,data structures,dp,implementation,two pointers",1900
1200E,"Compress Wordsbrute force,hashing,implementation,string suffix structures,strings",2000
1200F,"Graph Travelerbrute force,data structures,dfs and similar,dp,graphs,implementation,math,number theory",2300
1201A,"Important Examimplementation,strings",900
1201B,"Zero Arraygreedy,math",1500
1201C,"Maximum Medianbinary search,greedy,math,sortings",1400
1201D,"Treasure Huntingbinary search,dp,greedy,implementation",2100
1201E1,"Knightmare (easy)graphs,interactive,shortest paths",2900
1201E2,"Knightmare (hard)graphs,interactive,shortest paths",3000
1202A,"You Are Given Two Binary Strings...bitmasks,greedy",1100
1202B,"You Are Given a Decimal String...brute force,dp,shortest paths",1700
1202C,"You Are Given a WASD-string...brute force,data structures,dp,greedy,implementation,math,strings",2100
1202D,"Print a 1337-string...combinatorics,constructive algorithms,math,strings",1900
1202E,"You Are Given Some Strings...brute force,string suffix structures,strings",2400
1202F,"You Are Given Some Letters...binary search,implementation,math",2700
1203A,"Circle of Studentsimplementation",1000
1203B,"Equal Rectanglesgreedy,math",1200
1203C,"Common Divisorsimplementation,math",1300
1203D1,"Remove the Substring (easy version)greedy,implementation",1600
1203D2,"Remove the Substring (hard version)binary search,greedy,implementation,two pointers",1700
1203E,"Boxersgreedy,sortings",1500
1203F1,"Complete the Projects (easy version)greedy",2100
1203F2,"Complete the Projects (hard version)dp,greedy",2300
1204A,"BowWow and the Timetablemath",1000
1204B,"Mislove Has Lost an Arraygreedy,math",900
1204C,"Anna, Svyatoslav and Mapsdp,graphs,greedy,shortest paths",1700
1204D1,"Kirk and a Binary String (easy version)brute force,greedy,strings",2000
1204D2,"Kirk and a Binary String (hard version)data structures,greedy,math,strings",2100
1204E,"Natasha, Sasha and the Prefix Sumscombinatorics,dp,math,number theory",2300
1205A,"Almost Equalconstructive algorithms,greedy,math",1200
1205B,"Shortest Cyclebitmasks,brute force,graphs,shortest paths",1900
1205C,"Palindromic Pathsimplementation,interactive",2400
1205D,"Almost Allconstructive algorithms,trees",2700
1205E,"Expected Value Againcombinatorics,strings",3100
1205F,"Beauty of a Permutationconstructive algorithms,math",3400
1206A,"Choose Two Numbersmath,sortings",800
1206B,"Make Product Equal Onedp,implementation",900
1207A,"There Are Two Types Of Burgersbrute force,greedy,implementation,math",800
1207B,"Square Fillingconstructive algorithms,greedy,implementation",1200
1207C,"Gas Pipelinedp,greedy",1500
1207D,"Number Of Permutationscombinatorics",1800
1207E,"XOR Guessingbitmasks,interactive,math",1900
1207F,"Remainder Problembrute force,data structures,implementation",2100
1207G,"Indie Albumdata structures,dfs and similar,hashing,string suffix structures,strings,trees",2700
1208A,XORinaccimath,900
1208B,"Uniquenessbinary search,brute force,implementation,two pointers",1500
1208C,"Magic Gridconstructive algorithms",1800
1208D,"Restore Permutationbinary search,data structures,greedy,implementation",1900
1208E,"Let Them Slidedata structures,implementation",2200
1208F,"Bits And Piecesbitmasks,dfs and similar,dp,greedy",2600
1208G,"Polygonsgreedy,math,number theory",2800
1208H,"Red Blue Treedata structures,implementation,trees",3500
1209A,"Paint the Numbersgreedy,implementation,math",800
1209B,"Koala and Lightsimplementation,math,number theory",1300
1209C,"Paint the Digitsconstructive algorithms,greedy,implementation",1500
1209D,"Cow and Snacksdfs and similar,dsu,graphs",1700
1209E1,"Rotate Columns (easy version)bitmasks,brute force,dp,greedy,sortings",2000
1209E2,"Rotate Columns (hard version)bitmasks,dp,greedy,sortings",2500
1209F,"Koala and Notebookdata structures,dfs and similar,graphs,shortest paths,strings,trees",2600
1209G1,"Into Blocks (easy version)data structures,dsu,greedy,implementation,two pointers",2000
1209G2,"Into Blocks (hard version)data structures",3200
1209H,"Moving Walkwaysdata structures,greedy,math",3300
1210A,"Anadi and Dominobrute force,graphs",1700
1210B,"Marcin and Training Campbrute force,greedy",1700
1210C,"Kamil and Making a Streammath,number theory,trees",2000
1210D,"Konrad and Company Evaluationgraphs",2400
1210E,"Wojtek and Card Tricksmath",2700
1210F1,"Marek and Matching (easy version)brute force,probabilities",3100
1210F2,"Marek and Matching (hard version)brute force,probabilities",3200
1210G,"Mateusz and Escape Roomdp",3500
1211A,"Three Problems*special problem,implementation",1000
1211B,"Traveling Around the Golden Ring of Berland*special problem,implementation",1500
1211C,"Ice Cream*special problem,greedy,sortings",1700
1211D,"Teams*special problem,binary search,greedy,math",2000
1211E,"Double Permutation Inc.*special problem,binary search,greedy",2000
1211F,"kotlinkotlinkotlinkotlin...*special problem,graphs,implementation,strings",2300
1211G,"King's Path*special problem,math,trees",2500
1211H,"Road Repair in Treeland*special problem,binary search,dp,trees",3100
1211I,"Unusual Graph*special problem,graphs",3000
1213A,"Chips Movingmath",900
1213B,"Bad Pricesdata structures,implementation",1100
1213C,"Book Readingmath",1200
1213D1,"Equalizing by Division (easy version)brute force,implementation",1500
1213D2,"Equalizing by Division (hard version)brute force,math,sortings",1600
1213E,"Two Small Stringsbrute force,constructive algorithms",1900
1213F,"Unstable String Sortdata structures,dfs and similar,dsu,graphs,greedy,implementation,strings",2100
1213G,"Path Queriesdivide and conquer,dsu,graphs,sortings,trees",1800
1214A,"Optimal Currency Exchangebrute force,math",1400
1214B,"Badgesbrute force,math",1100
1214C,"Bad Sequencedata structures,greedy",1200
1214D,"Treasure Islanddfs and similar,dp,flows,hashing",1900
1214E,"Petya and Construction Setconstructive algorithms,graphs,math,sortings,trees",2000
1214F,"Employmentgreedy,sortings",2700
1214G,"Feeling Goodbitmasks,data structures",3200
1214H,"Tiles Placementconstructive algorithms,dfs and similar,trees",2800
1215A,"Yellow Cardsgreedy,implementation,math",1000
1215B,"The Number of Productscombinatorics,dp,implementation",1400
1215C,"Swap Lettersconstructive algorithms,greedy",1500
1215D,"Ticket Gamegames,greedy,math",1700
1215E,"Marblesbitmasks,dp",2200
1215F,"Radio Stations2-sat",2700
1216A,Prefixesstrings,800
1216B,"Shootinggreedy,implementation,sortings",900
1216C,"White Sheetgeometry,math",1700
1216D,Swordsmath,1300
1216E1,"Numerical Sequence (easy version)binary search,brute force,math",1900
1216E2,"Numerical Sequence (hard version)binary search,math",2200
1216F,"Wi-Fidata structures,dp,greedy",2100
1217A,"Creating a Characterbinary search,math",1300
1217B,"Zmei Gorynichgreedy,math",1600
1217C,"The Number Of Good Substringsbinary search,bitmasks,brute force",1700
1217D,"Coloring Edgesconstructive algorithms,dfs and similar,graphs",2100
1217E,"Sum Queries?data structures,greedy,implementation,math",2300
1217F,"Forced Online Queries Problemdata structures,divide and conquer,dsu,graphs,trees",2600
1218A,"BubbleReactordp,graphs",2800
1218B,"Guarding warehousesdata structures,geometry",3000
1218C,"Jumping Transformersdp",2600
