contest_id,contest_name,start_time,length
44,"School Team Contest 2 (Winter Computer School 2010/11)Enter »Virtual participation »","2010-11-06 14:00:00",05:00:00
45,"School Team Contest 3 (Winter Computer School 2010/11)Enter »Virtual participation »","2010-11-13 14:00:00",05:00:00
46,"School Personal Contest #2 (Winter Computer School 2010/11) - Codeforces Beta Round 43 (ACM-ICPC Rules)Enter »Virtual participation »","2010-12-05 11:00:00",03:00:00
47,"Codeforces Beta Round 44 (Div. 2)Enter »Virtual participation »","2010-12-07 19:00:00",02:00:00
48,"School Personal Contest #3 (Winter Computer School 2010/11) - Codeforces Beta Round 45 (ACM-ICPC Rules)Enter »Virtual participation »","2010-12-12 11:00:00",03:00:00
49,"Codeforces Beta Round 46 (Div. 2)Enter »Virtual participation »","2010-12-17 19:00:00",02:00:00
50,"Codeforces Beta Round 47Enter »Virtual participation »","2010-12-20 19:20:00",02:00:00
51,"Codeforces Beta Round 48Enter »Virtual participation »","2010-12-28 19:00:00",02:30:00
52,"Codeforces Testing Round 1Enter »Virtual participation »","2011-01-04 20:00:00",01:00:00
53,"Codeforces Beta Round 49 (Div. 2)Enter »Virtual participation »","2011-01-06 19:00:00",02:00:00
54,"Codeforces Beta Round 50Enter »Virtual participation »","2011-01-11 11:15:00",02:00:00
55,"Codeforces Beta Round 51Enter »Virtual participation »","2011-01-14 11:00:00",02:00:00
56,"Codeforces Beta Round 52 (Div. 2)Enter »Virtual participation »","2011-01-21 19:10:00",02:00:00
57,"Codeforces Beta Round 53Enter »Virtual participation »","2011-01-25 19:00:00",02:00:00
58,"Codeforces Beta Round 54 (Div. 2)Enter »Virtual participation »","2011-01-31 19:00:00",02:00:00
59,"Codeforces Beta Round 55 (Div. 2)Enter »Virtual participation »","2011-02-11 19:00:00",02:00:00
60,"Codeforces Beta Round 56Enter »Virtual participation »","2011-02-19 19:00:00",02:00:00
61,"Codeforces Beta Round 57 (Div. 2)Enter »Virtual participation »","2011-02-22 19:00:00",02:00:00
62,"Codeforces Beta Round 58Enter »Virtual participation »","2011-02-25 19:00:00",02:00:00
63,"Codeforces Beta Round 59 (Div. 2)Enter »Virtual participation »","2011-02-28 19:00:00",02:00:00
64,"Unknown Language Round 1Enter »Virtual participation »","2011-02-21 19:00:00",02:30:00
65,"Codeforces Beta Round 60Enter »Virtual participation »","2011-03-05 19:00:00",02:00:00
66,"Codeforces Beta Round 61 (Div. 2)Enter »Virtual participation »","2011-03-07 19:00:00",02:00:00
67,"Manthan 2011Enter »Virtual participation »","2011-03-13 19:30:00",03:00:00
68,"Codeforces Beta Round 62Enter »Virtual participation »","2011-03-18 19:00:00",02:00:00
69,"Codeforces Beta Round 63 (Div. 2)Enter »Virtual participation »","2011-03-22 19:00:00",02:00:00
70,"Codeforces Beta Round 64Enter »Virtual participation »","2011-03-26 19:00:00",02:00:00
71,"Codeforces Beta Round 65 (Div. 2)Enter »Virtual participation »","2011-03-29 19:00:00",02:00:00
72,"Unknown Language Round 2Enter »Virtual participation »","2011-03-20 19:10:00",03:00:00
73,"Codeforces Beta Round 66Enter »Virtual participation »","2011-04-10 12:00:00",02:30:00
74,"Codeforces Beta Round 68Enter »Virtual participation »","2011-04-15 19:00:00",02:00:00
75,"Codeforces Beta Round 67 (Div. 2)Enter »Virtual participation »","2011-04-13 19:00:00",02:00:00
76,"All-Ukrainian School Olympiad in InformaticsEnter »Virtual participation »","2011-04-12 16:00:00",05:00:00
77,"Codeforces Beta Round 69 (Div. 1 Only)Enter »Virtual participation »","2011-04-19 19:15:00",02:00:00
78,"Codeforces Beta Round 70 (Div. 2)Enter »Virtual participation »","2011-04-27 19:00:00",02:00:00
79,"Codeforces Beta Round 71Enter »Virtual participation »","2011-04-30 19:00:00",02:00:00
80,"Codeforces Beta Round 69 (Div. 2 Only)Enter »Virtual participation »","2011-04-19 19:15:00",02:00:00
81,"Yandex.Algorithm Open 2011: Qualification 1Enter »Virtual participation »","2011-05-04 09:00:00",02:00:00
82,"Yandex.Algorithm 2011: Qualification 2Enter »Virtual participation »","2011-05-06 19:00:00",02:00:00
83,"Codeforces Beta Round 72 (Div. 1 Only)Enter »Virtual participation »","2011-05-13 19:10:00",02:00:00
84,"Codeforces Beta Round 72 (Div. 2 Only)Enter »Virtual participation »","2011-05-13 19:10:00",02:00:00
85,"Yandex.Algorithm 2011: Round 1Enter »Virtual participation »","2011-05-20 19:00:00",02:00:00
86,"Yandex.Algorithm 2011: Round 2Enter »Virtual participation »","2011-05-22 19:10:00",02:00:00
87,"Codeforces Beta Round 73 (Div. 1 Only)Enter »Virtual participation »","2011-06-07 19:00:00",02:00:00
88,"Codeforces Beta Round 73 (Div. 2 Only)Enter »Virtual participation »","2011-06-07 19:00:00",02:00:00
89,"Codeforces Beta Round 74 (Div. 1 Only)Enter »Virtual participation »","2011-06-16 19:00:00",02:00:00
90,"Codeforces Beta Round 74 (Div. 2 Only)Enter »Virtual participation »","2011-06-16 19:00:00",02:00:00
91,"Codeforces Beta Round 75 (Div. 1 Only)Enter »Virtual participation »","2011-06-20 19:00:00",02:00:00
92,"Codeforces Beta Round 75 (Div. 2 Only)Enter »Virtual participation »","2011-06-20 19:00:00",02:00:00
93,"Codeforces Beta Round 76 (Div. 1 Only)Enter »Virtual participation »","2011-06-30 19:00:00",02:00:00
94,"Codeforces Beta Round 76 (Div. 2 Only)Enter »Virtual participation »","2011-06-30 19:00:00",02:00:00
95,"Codeforces Beta Round 77 (Div. 1 Only)Enter »Virtual participation »","2011-07-08 19:00:00",02:00:00
96,"Codeforces Beta Round 77 (Div. 2 Only)Enter »Virtual participation »","2011-07-08 19:00:00",02:00:00
97,"Yandex.Algorithm 2011: FinalsEnter »Virtual participation »","2011-07-15 16:00:00",02:00:00
98,"Codeforces Beta Round 78 (Div. 1 Only)Enter »Virtual participation »","2011-07-22 19:00:00",02:00:00
99,"Codeforces Beta Round 78 (Div. 2 Only)Enter »Virtual participation »","2011-07-22 19:00:00",02:00:00
100,"Unknown Language Round 3Enter »Virtual participation »","2011-07-30 10:00:00",03:00:00
101,"Codeforces Beta Round 79 (Div. 1 Only)Enter »Virtual participation »","2011-08-03 21:00:00",02:00:00
102,"Codeforces Beta Round 79 (Div. 2 Only)Enter »Virtual participation »","2011-08-03 21:00:00",02:00:00
103,"Codeforces Beta Round 80 (Div. 1 Only)Enter »Virtual participation »","2011-08-07 15:00:00",02:00:00
104,"Codeforces Beta Round 80 (Div. 2 Only)Enter »Virtual participation »","2011-08-07 15:00:00",02:00:00
105,"Codeforces Beta Round 81Enter »Virtual participation »","2011-08-13 19:00:00",02:00:00
106,"Codeforces Beta Round 82 (Div. 2)Enter »Virtual participation »","2011-08-19 19:00:00",02:00:00
107,"Codeforces Beta Round 83 (Div. 1 Only)Enter »Virtual participation »","2011-08-23 19:00:00",02:00:00
108,"Codeforces Beta Round 83 (Div. 2 Only)Enter »Virtual participation »","2011-08-23 19:00:00",02:00:00
109,"Codeforces Beta Round 84 (Div. 1 Only)Enter »Virtual participation »","2011-08-29 20:00:00",02:00:00
110,"Codeforces Beta Round 84 (Div. 2 Only)Enter »Virtual participation »","2011-08-29 20:00:00",02:00:00
111,"Codeforces Beta Round 85 (Div. 1 Only)Enter »Virtual participation »","2011-09-03 16:00:00",02:00:00
112,"Codeforces Beta Round 85 (Div. 2 Only)Enter »Virtual participation »","2011-09-03 16:00:00",02:00:00
113,"Codeforces Beta Round 86 (Div. 1 Only)Enter »Virtual participation »","2011-09-08 19:00:00",02:00:00
114,"Codeforces Beta Round 86 (Div. 2 Only)Enter »Virtual participation »","2011-09-08 19:00:00",02:00:00
115,"Codeforces Beta Round 87 (Div. 1 Only)Enter »Virtual participation »","2011-09-15 19:00:00",02:00:00
116,"Codeforces Beta Round 87 (Div. 2 Only)Enter »Virtual participation »","2011-09-15 19:00:00",02:00:00
117,"Codeforces Beta Round 88Enter »Virtual participation »","2011-09-23 19:00:00",02:00:00
118,"Codeforces Beta Round 89 (Div. 2)Enter »Virtual participation »","2011-10-07 19:00:00",02:00:00
119,"Codeforces Beta Round 90Enter »Virtual participation »","2011-10-14 19:00:00",02:00:00
120,"School Regional Team Contest, Saratov, 2011Enter »Virtual participation »","2011-10-18 10:30:00",05:00:00
121,"Codeforces Beta Round 91 (Div. 1 Only)Enter »Virtual participation »","2011-10-27 19:00:00",02:00:00
122,"Codeforces Beta Round 91 (Div. 2 Only)Enter »Virtual participation »","2011-10-27 19:00:00",02:00:00
123,"Codeforces Beta Round 92 (Div. 1 Only)Enter »Virtual participation »","2011-11-03 19:10:00",02:00:00
124,"Codeforces Beta Round 92 (Div. 2 Only)Enter »Virtual participation »","2011-11-03 19:10:00",02:00:00
125,"Codeforces Testing Round 2Enter »Virtual participation »","2011-10-29 17:00:00",02:00:00
126,"Codeforces Beta Round 93 (Div. 1 Only)Enter »Virtual participation »","2011-11-09 21:00:00",02:00:00
127,"Codeforces Beta Round 93 (Div. 2 Only)Enter »Virtual participation »","2011-11-09 21:00:00",02:00:00
128,"Codeforces Beta Round 94 (Div. 1 Only)Enter »Virtual participation »","2011-11-15 10:10:00",02:00:00
129,"Codeforces Beta Round 94 (Div. 2 Only)Enter »Virtual participation »","2011-11-15 10:10:00",02:00:00
130,"Unknown Language Round 4Enter »Virtual participation »","2011-11-20 19:00:00",03:00:00
131,"Codeforces Beta Round 95 (Div. 2)Enter »Virtual participation »","2011-11-25 19:00:00",02:00:00
132,"Codeforces Beta Round 96 (Div. 1)Enter »Virtual participation »","2011-12-03 19:00:00",02:00:00
133,"Codeforces Beta Round 96 (Div. 2)Enter »Virtual participation »","2011-12-03 19:00:00",02:00:00
134,"Codeforces Testing Round 3Enter »Virtual participation »","2011-12-02 19:00:00",01:00:00
135,"Codeforces Beta Round 97 (Div. 1)Enter »Virtual participation »","2011-12-09 19:05:00",02:00:00
136,"Codeforces Beta Round 97 (Div. 2)Enter »Virtual participation »","2011-12-09 19:05:00",02:00:00
137,"Codeforces Beta Round 98 (Div. 2)Enter »Virtual participation »","2011-12-16 10:00:00",02:00:00
138,"Codeforces Beta Round 99 (Div. 1)Enter »Virtual participation »","2011-12-24 16:00:00",02:00:00
139,"Codeforces Beta Round 99 (Div. 2)Enter »Virtual participation »","2011-12-24 16:00:00",02:00:00
140,"Codeforces Round 100Enter »Virtual participation »","2012-01-04 19:00:00",02:00:00
141,"Codeforces Round 101 (Div. 2)Enter »Virtual participation »","2012-01-08 19:00:00",02:00:00
142,"Codeforces Round 102 (Div. 1)Enter »Virtual participation »","2012-01-12 19:05:00",02:00:00
143,"Codeforces Round 102 (Div. 2)Enter »Virtual participation »","2012-01-12 19:05:00",02:00:00
144,"Codeforces Round 103 (Div. 2)Enter »Virtual participation »","2012-01-18 19:05:00",02:00:00
145,"Codeforces Round 104 (Div. 1)Enter »Virtual participation »","2012-01-22 11:00:00",02:00:00
146,"Codeforces Round 104 (Div. 2)Enter »Virtual participation »","2012-01-22 11:00:00",02:00:00
147,"Codeforces Testing Round 4Enter »Virtual participation »","2012-01-03 19:00:00",01:00:00
148,"Codeforces Round 105 (Div. 2)Enter »Virtual participation »","2012-02-02 20:00:00",02:00:00
149,"Codeforces Round 106 (Div. 2)Enter »Virtual participation »","2012-02-10 19:00:00",02:00:00
150,"Codeforces Round 107 (Div. 1)Enter »Virtual participation »","2012-02-17 19:00:00",02:00:00
151,"Codeforces Round 107 (Div. 2)Enter »Virtual participation »","2012-02-17 19:00:00",02:00:00
152,"Codeforces Round 108 (Div. 2)Enter »Virtual participation »","2012-02-20 19:00:00",02:00:00
153,"Surprise Language Round 5Enter »Virtual participation »","2012-02-22 19:00:00",02:00:00
154,"Codeforces Round 109 (Div. 1)Enter »Virtual participation »","2012-02-24 19:00:00",02:00:00
155,"Codeforces Round 109 (Div. 2)Enter »Virtual participation »","2012-02-24 19:00:00",02:00:00
156,"Codeforces Round 110 (Div. 1)Enter »Virtual participation »","2012-02-29 21:30:00",02:00:00
157,"Codeforces Round 110 (Div. 2)Enter »Virtual participation »","2012-02-29 21:30:00",02:00:00
158,"VK Cup 2012 Qualification Round 1Enter »Virtual participation »","2012-03-04 00:00:00",01:00:00
159,"VK Cup 2012 Qualification Round 2Enter »Virtual participation »","2012-03-09 12:00:00",01:00:00
160,"Codeforces Round 111 (Div. 2)Enter »Virtual participation »","2012-03-06 19:00:00",02:00:00
161,"VK Cup 2012 Round 1Enter »Virtual participation »","2012-03-11 19:05:00",02:00:00
162,"VK Cup 2012 Wild-card Round 1Enter »Virtual participation »","2012-03-18 19:10:00",02:00:00
163,"VK Cup 2012 Round 2Enter »Virtual participation »","2012-03-25 19:05:00",02:00:00
164,"VK Cup 2012 Round 3Enter »Virtual participation »","2012-04-08 19:05:00",02:00:00
165,"Codeforces Round 112 (Div. 2)Enter »Virtual participation »","2012-03-16 19:30:00",02:00:00
166,"Codeforces Round 113 (Div. 2)Enter »Virtual participation »","2012-03-23 19:30:00",02:00:00
167,"Codeforces Round 114 (Div. 1)Enter »Virtual participation »","2012-03-27 19:00:00",02:00:00
168,"Codeforces Round 114 (Div. 2)Enter »Virtual participation »","2012-03-27 19:00:00",02:00:00
169,"VK Cup 2012 Round 2 (Unofficial Div. 2 Edition)Enter »Virtual participation »","2012-03-25 19:05:00",02:00:00
170,"VK Cup 2012 Wild-card Round 2Enter »","2012-03-28 21:00:00",07:00:00
171,"April Fools Day ContestEnter »Virtual participation »","2012-04-01 19:00:00",02:00:00
172,"Croc Champ 2012 - Qualification RoundEnter »Virtual participation »","2012-04-03 12:00:00",01:00:00
173,"Croc Champ 2012 - Round 1Enter »Virtual participation »","2012-04-06 19:00:00",02:00:00
174,"VK Cup 2012 Round 3 (Unofficial Div. 2 Edition)Enter »Virtual participation »","2012-04-08 19:05:00",02:00:00
175,"Codeforces Round 115Enter »Virtual participation »","2012-04-14 12:00:00",03:00:00
176,"Croc Champ 2012 - Round 2Enter »Virtual participation »","2012-04-20 19:05:00",02:00:00
177,"ABBYY Cup 2.0 - EasyEnter »Virtual participation »","2012-04-21 18:00:00",04:00:00
178,"ABBYY Cup 2.0 - HardEnter »Virtual participation »","2012-04-28 16:00:00",05:00:00
180,"Codeforces Round 116 (Div. 2, ACM-ICPC Rules)Enter »Virtual participation »","2012-04-22 11:00:00",02:00:00
181,"Croc Champ 2012 - Round 2 (Unofficial Div. 2 Edition)Enter »Virtual participation »","2012-04-20 19:05:00",02:00:00
182,"Codeforces Round 117 (Div. 2)Enter »Virtual participation »","2012-04-24 19:10:00",02:00:00
183,"Croc Champ 2012 - FinalEnter »Virtual participation »","2012-04-27 17:20:00",02:00:00
185,"Codeforces Round 118 (Div. 1)Enter »Virtual participation »","2012-05-04 19:30:00",02:00:00
186,"Codeforces Round 118 (Div. 2)Enter »Virtual participation »","2012-05-04 19:30:00",02:00:00
187,"Codeforces Round 119 (Div. 1)Enter »Virtual participation »","2012-05-10 19:30:00",02:00:00
188,"Surprise Language Round 6Enter »Virtual participation »","2012-05-25 19:30:00",02:00:00
189,"Codeforces Round 119 (Div. 2)Enter »Virtual participation »","2012-05-10 19:30:00",02:00:00
190,"Codeforces Round 120 (Div. 2)Enter »Virtual participation »","2012-05-16 19:30:00",02:00:00
191,"Codeforces Round 121 (Div. 1)Enter »Virtual participation »","2012-05-27 19:30:00",02:00:00
192,"Codeforces Round 121 (Div. 2)Enter »Virtual participation »","2012-05-27 19:30:00",02:00:00
193,"Codeforces Round 122 (Div. 1)Enter »Virtual participation »","2012-06-03 19:30:00",02:00:00
194,"Codeforces Round 122 (Div. 2)Enter »Virtual participation »","2012-06-03 19:30:00",02:00:00
195,"Codeforces Round 123 (Div. 2)Enter »Virtual participation »","2012-06-10 19:30:00",02:00:00
196,"Codeforces Round 124 (Div. 1)Enter »Virtual participation »","2012-06-12 17:00:00",02:00:00
197,"Codeforces Round 124 (Div. 2)Enter »Virtual participation »","2012-06-12 17:00:00",02:00:00
198,"Codeforces Round 125 (Div. 1)Enter »Virtual participation »","2012-06-22 19:30:00",02:00:00
199,"Codeforces Round 125 (Div. 2)Enter »Virtual participation »","2012-06-22 19:30:00",02:00:00
200,"Codeforces Round 126 (Div. 2)Enter »Virtual participation »","2012-06-24 19:30:00",02:00:00
201,"Codeforces Round 127 (Div. 1)Enter »Virtual participation »","2012-06-29 19:30:00",02:00:00
202,"Codeforces Round 127 (Div. 2)Enter »Virtual participation »","2012-06-29 19:30:00",02:00:00
203,"Codeforces Round 128 (Div. 2)Enter »Virtual participation »","2012-07-03 19:30:00",02:00:00
204,"Codeforces Round 129 (Div. 1)Enter »Virtual participation »","2012-07-11 19:30:00",02:00:00
205,"Codeforces Round 129 (Div. 2)Enter »Virtual participation »","2012-07-11 19:30:00",02:00:00
206,"Abbyy Cup 2.0 - FinalEnter »","2012-07-06 16:15:00",03:00:00
207,"Abbyy Cup 2.0 - Final (unofficial)Enter »Virtual participation »","2012-07-08 11:00:00",03:00:00
208,"Codeforces Round 130 (Div. 2)Enter »Virtual participation »","2012-07-23 19:30:00",02:10:00
209,"VK Cup 2012 Finals, Practice SessionEnter »Virtual participation »","2012-07-14 11:55:00",01:30:00
211,"VK Cup 2012 FinalsEnter »Virtual participation »","2012-07-15 11:00:00",02:30:00
212,"VK Cup 2012 Finals (unofficial online-version)Enter »Virtual participation »","2012-07-16 19:00:00",02:30:00
213,"Codeforces Round 131 (Div. 1)Enter »Virtual participation »","2012-07-30 19:30:00",02:00:00
214,"Codeforces Round 131 (Div. 2)Enter »Virtual participation »","2012-07-30 19:30:00",02:00:00
215,"Codeforces Round 132 (Div. 2)Enter »Virtual participation »","2012-08-06 19:30:00",02:00:00
216,"Codeforces Round 133 (Div. 2)Enter »Virtual participation »","2012-08-14 19:30:00",02:00:00
217,"Codeforces Round 134 (Div. 1)Enter »Virtual participation »","2012-08-18 11:05:00",02:00:00
218,"Codeforces Round 134 (Div. 2)Enter »Virtual participation »","2012-08-18 11:05:00",02:00:00
219,"Codeforces Round 135 (Div. 2)Enter »Virtual participation »","2012-08-27 19:30:00",02:00:00
220,"Codeforces Round 136 (Div. 1)Enter »Virtual participation »","2012-08-31 19:30:00",02:00:00
221,"Codeforces Round 136 (Div. 2)Enter »Virtual participation »","2012-08-31 19:30:00",02:00:00
222,"Codeforces Round 137 (Div. 2)Enter »Virtual participation »","2012-09-10 19:45:00",02:00:00
223,"Codeforces Round 138 (Div. 1)Enter »Virtual participation »","2012-09-16 19:30:00",02:00:00
224,"Codeforces Round 138 (Div. 2)Enter »Virtual participation »","2012-09-16 19:30:00",02:00:00
225,"Codeforces Round 139 (Div. 2)Enter »Virtual participation »","2012-09-19 19:45:00",02:00:00
226,"Codeforces Round 140 (Div. 1)Enter »Virtual participation »","2012-09-24 19:30:00",02:00:00
227,"Codeforces Round 140 (Div. 2)Enter »Virtual participation »","2012-09-24 19:30:00",02:00:00
228,"Codeforces Round 141 (Div. 2)Enter »Virtual participation »","2012-09-27 19:30:00",02:00:00
229,"Codeforces Round 142 (Div. 1)Enter »Virtual participation »","2012-10-01 19:30:00",02:05:00
230,"Codeforces Round 142 (Div. 2)Enter »Virtual participation »","2012-10-01 19:30:00",02:05:00
231,"Codeforces Round 143 (Div. 2)Enter »Virtual participation »","2012-10-07 19:30:00",02:00:00
232,"Codeforces Round 144 (Div. 1)Enter »Virtual participation »","2012-10-11 19:30:00",02:00:00
233,"Codeforces Round 144 (Div. 2)Enter »Virtual participation »","2012-10-11 19:30:00",02:00:00
234,"Codeforces Round 145 (Div. 2, ACM-ICPC Rules)Enter »Virtual participation »","2012-10-16 11:00:00",03:30:00
235,"Codeforces Round 146 (Div. 1)Enter »Virtual participation »","2012-10-21 11:10:00",02:00:00
236,"Codeforces Round 146 (Div. 2)Enter »Virtual participation »","2012-10-21 11:10:00",02:00:00
237,"Codeforces Round 147 (Div. 2)Enter »Virtual participation »","2012-10-25 19:30:00",02:00:00
238,"Codeforces Round 148 (Div. 1)Enter »Virtual participation »","2012-11-04 20:00:00",02:00:00
239,"Codeforces Round 148 (Div. 2)Enter »Virtual participation »","2012-11-04 20:00:00",02:00:00
240,"Codeforces Round 145 (Div. 1, ACM-ICPC Rules)Enter »Virtual participation »","2012-10-16 11:00:00",02:00:00
241,"Bayan 2012-2013 Elimination Round (ACM ICPC Rules, English statements)Enter »Virtual participation »","2012-11-01 19:30:00",03:00:00
242,"Codeforces Round 149 (Div. 2)Enter »Virtual participation »","2012-11-11 19:30:00",02:00:00
243,"Codeforces Round 150 (Div. 1)Enter »Virtual participation »","2012-11-16 19:30:00",02:10:00
244,"Codeforces Round 150 (Div. 2)Enter »Virtual participation »","2012-11-16 19:30:00",02:10:00
245,"CROC-MBTU 2012, Elimination Round (ACM-ICPC)Enter »Virtual participation »","2012-11-19 19:30:00",02:10:00
246,"Codeforces Round 151 (Div. 2)Enter »Virtual participation »","2012-11-21 19:30:00",02:00:00
247,"CROC-MBTU 2012, Final RoundEnter »","2012-11-26 14:55:00",02:00:00
248,"Codeforces Round 152 (Div. 2)Enter »Virtual participation »","2012-11-25 19:30:00",02:15:00
249,"Codeforces Round 152 (Div. 1)Enter »Virtual participation »","2012-11-25 19:30:00",02:15:00
250,"CROC-MBTU 2012, Final Round (Online version, Div. 2)Enter »Virtual participation »","2012-11-26 18:00:00",02:00:00
251,"Codeforces Round 153 (Div. 1)Enter »Virtual participation »","2012-12-06 19:30:00",02:00:00
252,"Codeforces Round 153 (Div. 2)Enter »Virtual participation »","2012-12-06 19:30:00",02:00:00
253,"Codeforces Round 154 (Div. 2)Enter »Virtual participation »","2012-12-08 14:00:00",02:00:00
254,"Codeforces Round 155 (Div. 2)Enter »Virtual participation »","2012-12-09 14:00:00",02:00:00
255,"Codeforces Round 156 (Div. 2)Enter »Virtual participation »","2012-12-16 19:30:00",02:00:00
256,"Codeforces Round 156 (Div. 1)Enter »Virtual participation »","2012-12-16 19:30:00",02:00:00
257,"Codeforces Round 159 (Div. 2)Enter »Virtual participation »","2013-01-08 19:30:00",02:00:00
258,"Codeforces Round 157 (Div. 1)Enter »Virtual participation »","2012-12-22 19:30:00",02:00:00
259,"Codeforces Round 157 (Div. 2)Enter »Virtual participation »","2012-12-22 19:30:00",02:00:00
260,"Codeforces Round 158 (Div. 2)Enter »Virtual participation »","2012-12-27 19:35:00",02:00:00
261,"Codeforces Round 160 (Div. 1)Enter »Virtual participation »","2013-01-13 19:30:00",02:00:00
262,"Codeforces Round 160 (Div. 2)Enter »Virtual participation »","2013-01-13 19:30:00",02:00:00
263,"Codeforces Round 161 (Div. 2)Enter »Virtual participation »","2013-01-16 19:30:00",02:00:00
264,"Codeforces Round 162 (Div. 1)Enter »Virtual participation »","2013-01-20 17:00:00",02:00:00
265,"Codeforces Round 162 (Div. 2)Enter »Virtual participation »","2013-01-20 17:00:00",02:00:00
266,"Codeforces Round 163 (Div. 2)Enter »Virtual participation »","2013-01-22 19:30:00",02:00:00
267,"Codeforces Testing Round 5Enter »Virtual participation »","2013-01-12 19:00:00",01:45:00
268,"Codeforces Round 164 (Div. 2)Enter »Virtual participation »","2013-01-28 19:30:00",02:00:00
269,"Codeforces Round 165 (Div. 1)Enter »Virtual participation »","2013-02-01 19:30:00",02:00:00
